name,phone,address,types,rating,reviews,lead_score,source,pitch_note,place_id,website
Dreamfield Juice & Salad Bar,+234 906 000 7683,"17-19, Allen Avenue, Ikeja",cafe,,,40,openstreetmap,"Hi, I noticed Dreamfield Juice & Salad Bar doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5912282957,
Amala Sky Lagos,+234 807 777 6962,"Beside Fidelity Bank, Admiralty Way, LEKKI",restaurant,,,40,openstreetmap,"Hi, I noticed Amala Sky Lagos doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_9685011127,
Spice And Grill,08036395555,"1, Olabisi Street, Ilupeju, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed Spice And Grill doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11235625032,
Chow Village,+2349135757038,"Km 48, Lekki - Epe Expy, opposite Blenco Supermarket, Eti-Osa, Sangotedo, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed Chow Village doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12591002582,
bokku MART,0916 486 7254,"34, Abule Okuta Road, Lagos",bakery,,,40,openstreetmap,"Hi, I noticed bokku MART doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13022889383,
Kachi’s kitchen,+2349126000026,"1E, Babatope Bejide Crescent, lekki",restaurant,,,40,openstreetmap,"Hi, I noticed Kachi’s kitchen doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13039092014,
The Mayfair lagos,+2349135576891,"19B, Sinari Daranijo Street, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed The Mayfair lagos doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13090093192,
The Mania House,+2348144258984,"25, Gafari Animashaun Street, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed The Mania House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13131419453,
Purple Jasmine cafe,+2348148247243,"97, Awolowo Road, Lagos",cafe,,,40,openstreetmap,"Hi, I noticed Purple Jasmine cafe doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13421752852,
Leila Restaurant Lagos,+2348035791444,"864a Bishop Aboyade St,, Victoria Island, Lagos 106104, Lagos, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed Leila Restaurant Lagos doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_536134419,
Ghana High,08166399027,"34, McCarthy Street, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed Ghana High doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_740741853,
Hua Han,+234 909 867 7777,"45c, Sobo Arobiodu Street, Lagos",restaurant,,,40,openstreetmap,"Hi, I noticed Hua Han doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_1245818419,
Lokito Restaurant,+2349070949514,"Primewaterview Gardens II, Lekki",restaurant,,,40,openstreetmap,"Hi, I noticed Lokito Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_1253396670,
Mr Biggs,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Mr Biggs doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_639043269,
Meals on the Move,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Meals on the Move doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_889266159,
Mama Cass,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Mama Cass doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_1513600883,
Tantalizers,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Tantalizers doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_1523336782,
Cactus,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Cactus doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_2330811676,
Mr. Bigs,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Mr. Bigs doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_2990336532,
KFC,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed KFC doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_2991768156,
New China Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed New China Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_3013698730,
Fada Land,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Fada Land doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_3023669229,
Bogobiri House Hotel and Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Bogobiri House Hotel and Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_3476309985,
Fired Yam Joint,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Fired Yam Joint doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_3833641197,
Beachland Club,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Beachland Club doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4115220695,
The place,,"Admiralty Way, Lekki, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed The place doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4193719013,
Ade Bread,,"19, Sariyu Street, Lagos",bakery,,,10,openstreetmap,"Hi, I noticed Ade Bread doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4308308189,
Domino's,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Domino's doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4601458189,
Restaurant La Provence,,"19, Glover Road, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Restaurant La Provence doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4611739491,
Flaky's Kitchen,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Flaky's Kitchen doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4612227790,
Samantha's / Kali Burger Bar / Village Grill,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Samantha's / Kali Burger Bar / Village Grill doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4612340489,
Mrs. Makers Bakery,,"2, Olawale Daudu Road, Lagos",bakery,,,10,openstreetmap,"Hi, I noticed Mrs. Makers Bakery doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4612445992,
Juice Lounge,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Juice Lounge doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4612446489,
Cafeteria 1,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Cafeteria 1 doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4666711428,
Cafeteria 2,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Cafeteria 2 doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4666711430,
