#,priority,name,phone,types,address,rating,reviews,source,status,notes,whatsapp_message
1,⚡ Warm,Dreamfield Juice & Salad Bar,+2349060007683,Café,"17-19, Allen Avenue, Ikeja",,,openstreetmap,Not Contacted,,"Hi Dreamfield Juice & Salad Bar 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
2,⚡ Warm,Amala Sky Lagos,+2348077776962,Restaurant,"Beside Fidelity Bank, Admiralty Way, LEKKI",,,openstreetmap,Not Contacted,,"Hi Amala Sky Lagos 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
3,⚡ Warm,Spice And Grill,+2348036395555,Restaurant,"1, Olabisi Street, Ilupeju, Lagos",,,openstreetmap,Not Contacted,,"Hi Spice And Grill 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
4,⚡ Warm,Chow Village,+2349135757038,Restaurant,"Km 48, Lekki - Epe Expy, opposite Blenco Supermarket, Eti-Osa, Sangotedo, Lagos",,,openstreetmap,Not Contacted,,"Hi Chow Village 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
5,⚡ Warm,Bokku Mart,+2349164867254,Bakery,"34, Abule Okuta Road, Lagos",,,openstreetmap,Not Contacted,,"Hi Bokku Mart 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
6,⚡ Warm,Kachi’S Kitchen,+2349126000026,Restaurant,"1E, Babatope Bejide Crescent, lekki",,,openstreetmap,Not Contacted,,"Hi Kachi’S Kitchen 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
7,⚡ Warm,The Mayfair Lagos,+2349135576891,Restaurant,"19B, Sinari Daranijo Street, Lagos",,,openstreetmap,Not Contacted,,"Hi The Mayfair Lagos 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
8,⚡ Warm,The Mania House,+2348144258984,Restaurant,"25, Gafari Animashaun Street, Lagos",,,openstreetmap,Not Contacted,,"Hi The Mania House 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
9,⚡ Warm,Purple Jasmine Cafe,+2348148247243,Café,"97, Awolowo Road, Lagos",,,openstreetmap,Not Contacted,,"Hi Purple Jasmine Cafe 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
10,⚡ Warm,Leila Restaurant Lagos,+2348035791444,Restaurant,"864a Bishop Aboyade St, Victoria Island, Lagos 106104, Lagos",,,openstreetmap,Not Contacted,,"Hi Leila Restaurant Lagos 👋

I noticed your restaurant doesn't have a website yet.

I built this demo for a Lagos restaurant:
👉 https://labella-lagos.netlify.app

I can build something like this for you — with your menu, your photos, and an online booking system.

Ready in 3 weeks. Interested?"
